Wavelength,Cabbage_far_left,Cabbage_middle,Cabbage_leftfar,Cabbage_near,Soil_cabbage,Egg_plant_rightfar,Egg_plant_middle,Soil_Eggplant,Eggplant_far_left,Mixed_far_left,Eggplant_middle_flower,Mixed_Cabbage_far_right,Soil_mixed_middle
615.671021,0.116683,0.124304,0.087067,0.169576,0.263973,0.161765,0.071714,0.410047,0.075292,0.031543,0.22428,0.079932,0.247916
617.857971,0.117321,0.123698,0.086213,0.168675,0.264476,0.157677,0.074764,0.409284,0.075648,0.032828,0.224228,0.080201,0.245877
619.317017,0.117176,0.121617,0.086313,0.167485,0.264779,0.158324,0.074431,0.412025,0.074765,0.032833,0.224448,0.081411,0.245095
621.504028,0.117187,0.120375,0.085312,0.167326,0.26638,0.158722,0.072126,0.416937,0.076067,0.032201,0.224447,0.080928,0.243615
623.690979,0.116735,0.119224,0.085827,0.167388,0.268003,0.157795,0.073293,0.426859,0.074575,0.032594,0.226995,0.081003,0.243208
625.877991,0.116696,0.120154,0.086973,0.167771,0.268507,0.156132,0.075682,0.427877,0.072843,0.032371,0.229411,0.079881,0.240798
627.336975,0.116736,0.118763,0.086412,0.168255,0.269355,0.156656,0.075088,0.430876,0.072849,0.033148,0.229461,0.080275,0.241103
629.523987,0.117236,0.1191,0.086805,0.165952,0.270383,0.160134,0.075768,0.433686,0.071834,0.032644,0.23029,0.079973,0.23981
631.710999,0.116146,0.117975,0.087051,0.165068,0.270052,0.161796,0.072055,0.437488,0.071246,0.031196,0.23208,0.078743,0.240725
633.898987,0.116525,0.115811,0.086186,0.163847,0.270823,0.158158,0.067063,0.439539,0.074338,0.030851,0.235924,0.076819,0.239706
635.356995,0.115851,0.113796,0.085976,0.162011,0.270797,0.158661,0.065698,0.437722,0.073529,0.030651,0.237278,0.076627,0.240345
637.544006,0.113305,0.111306,0.084846,0.159924,0.270455,0.156884,0.06337,0.436673,0.07307,0.029165,0.237404,0.075145,0.239082
639.731018,0.1125,0.107487,0.08489,0.15701,0.272609,0.156338,0.062802,0.436488,0.076184,0.029826,0.239017,0.074405,0.238929
641.919006,0.112107,0.106555,0.082973,0.15403,0.274142,0.153222,0.062619,0.434353,0.075618,0.029009,0.241239,0.071729,0.237892
643.377014,0.111163,0.104545,0.082832,0.152996,0.274322,0.147932,0.063611,0.436527,0.074898,0.027949,0.241183,0.070669,0.236037
645.564026,0.110073,0.105563,0.082334,0.151684,0.276133,0.145495,0.064075,0.437537,0.075688,0.028384,0.242922,0.070684,0.232239
647.752014,0.107583,0.106246,0.079879,0.15119,0.277612,0.143796,0.066249,0.439337,0.073728,0.027745,0.245724,0.069415,0.229801
649.939026,0.108749,0.105907,0.079796,0.149608,0.281012,0.138726,0.066538,0.442816,0.071065,0.027112,0.249264,0.066893,0.226542
651.396973,0.108094,0.104826,0.078563,0.150168,0.281303,0.137228,0.067035,0.443487,0.070741,0.028447,0.250085,0.066254,0.224363
653.583984,0.10723,0.103389,0.076313,0.14839,0.280256,0.134735,0.062528,0.447158,0.066382,0.027637,0.250803,0.063963,0.221719
655.771973,0.104968,0.102525,0.075648,0.148538,0.281763,0.132064,0.062314,0.450325,0.06489,0.02781,0.25279,0.064165,0.21992
657.958984,0.103108,0.101107,0.075783,0.144869,0.281836,0.132646,0.057693,0.453515,0.06081,0.029754,0.255616,0.063262,0.219552
659.416992,0.103926,0.098391,0.075969,0.142797,0.283976,0.133043,0.053505,0.452329,0.060292,0.029442,0.256736,0.062306,0.217982
661.60498,0.103813,0.095866,0.076713,0.142159,0.285328,0.130387,0.053741,0.453288,0.059062,0.028976,0.255906,0.060863,0.217241
663.791992,0.104221,0.093894,0.076888,0.13731,0.284329,0.129574,0.053483,0.450002,0.060831,0.029123,0.255244,0.061467,0.215517
665.979004,0.10109,0.0949,0.077334,0.135553,0.286489,0.131315,0.04984,0.453028,0.0615,0.028573,0.255666,0.06085,0.21576
667.437012,0.099964,0.093626,0.074945,0.135088,0.288361,0.131035,0.051047,0.452875,0.061693,0.02854,0.255443,0.059925,0.214847
669.625,0.101313,0.092725,0.076019,0.132504,0.285629,0.131208,0.053579,0.451819,0.05937,0.02853,0.255041,0.059136,0.213722
671.812012,0.103234,0.092904,0.075618,0.133012,0.290065,0.133585,0.055441,0.453555,0.063143,0.027249,0.257485,0.058683,0.214568
673.999023,0.101452,0.093214,0.075374,0.134037,0.290815,0.130288,0.059257,0.456946,0.063508,0.027189,0.256896,0.058641,0.21466
675.45697,0.102978,0.094596,0.077439,0.132328,0.291987,0.13364,0.059271,0.459761,0.062768,0.026381,0.256325,0.058763,0.214047
677.64502,0.104082,0.097405,0.077228,0.136066,0.295943,0.136916,0.058707,0.466442,0.065634,0.026828,0.256868,0.060192,0.213483
679.83197,0.108409,0.101042,0.080936,0.13719,0.30006,0.139891,0.060706,0.464887,0.065584,0.028314,0.258728,0.062868,0.216601
681.289978,0.111851,0.106185,0.084604,0.140798,0.302619,0.142248,0.059991,0.465512,0.066505,0.030101,0.261278,0.065453,0.217772
683.478027,0.11397,0.110271,0.088636,0.143926,0.309571,0.148349,0.062293,0.470414,0.072326,0.032641,0.264885,0.069608,0.221748
685.664978,0.118747,0.113425,0.093903,0.151067,0.311832,0.155995,0.068782,0.47109,0.075339,0.034612,0.269826,0.072939,0.226744
687.85199,0.125391,0.123495,0.097052,0.158778,0.314814,0.170153,0.075638,0.474239,0.079298,0.036056,0.279583,0.078142,0.237114
689.309998,0.128544,0.12916,0.100112,0.164108,0.316635,0.180578,0.078977,0.473725,0.087257,0.039505,0.286473,0.084227,0.246711
691.497986,0.134346,0.139392,0.107319,0.174936,0.317793,0.19839,0.085899,0.478094,0.091739,0.04159,0.297644,0.093194,0.264555
693.684998,0.142236,0.149356,0.113206,0.190216,0.315637,0.221295,0.106276,0.48552,0.100333,0.043563,0.309021,0.104918,0.281528
695.872009,0.15364,0.159223,0.121943,0.196593,0.313081,0.251227,0.121589,0.491979,0.108476,0.045342,0.321486,0.117972,0.302117
697.330994,0.162479,0.16837,0.128888,0.205507,0.315503,0.271437,0.131459,0.493975,0.118959,0.047891,0.332058,0.12907,0.316097
699.518005,0.174046,0.186818,0.137221,0.217949,0.311725,0.305185,0.144091,0.49905,0.129594,0.051463,0.34299,0.147334,0.340339
701.705017,0.189537,0.203513,0.153378,0.23022,0.311313,0.344794,0.160731,0.496969,0.140646,0.058116,0.356475,0.166077,0.363957
703.892029,0.205638,0.221327,0.16695,0.245411,0.312628,0.386821,0.183978,0.50327,0.152838,0.062819,0.369915,0.187349,0.388193
705.351013,0.216875,0.236236,0.181254,0.255784,0.313748,0.411875,0.201804,0.502319,0.161652,0.067295,0.379862,0.199404,0.402993
707.538025,0.234302,0.260317,0.19998,0.267775,0.314598,0.45133,0.220498,0.503792,0.177876,0.073276,0.392215,0.219012,0.428048
709.724976,0.252376,0.288907,0.220095,0.288831,0.31812,0.498384,0.240681,0.511686,0.19166,0.079843,0.410711,0.247118,0.456192
711.913025,0.269067,0.317223,0.24578,0.310371,0.317883,0.540132,0.2684,0.514229,0.197851,0.089861,0.425618,0.270783,0.482286
713.370972,0.280752,0.33733,0.259641,0.320617,0.321362,0.571242,0.28495,0.517994,0.206966,0.097369,0.437528,0.288537,0.499125
715.557983,0.301013,0.371272,0.280755,0.343214,0.327276,0.609681,0.308838,0.529574,0.222278,0.109072,0.45095,0.314675,0.521841
717.744995,0.31942,0.40011,0.297359,0.365134,0.33661,0.64191,0.332268,0.533225,0.231067,0.118896,0.469441,0.340428,0.548311
719.932983,0.339958,0.435559,0.324253,0.382855,0.336814,0.685349,0.35168,0.536282,0.245083,0.133822,0.487133,0.370943,0.573124
721.390991,0.359072,0.45907,0.337988,0.398171,0.342184,0.718553,0.369706,0.537167,0.249988,0.144078,0.497958,0.391472,0.58713
723.578003,0.378807,0.49032,0.360278,0.418659,0.34809,0.751211,0.393073,0.534072,0.263193,0.160169,0.506605,0.415545,0.605617
725.765991,0.398103,0.52357,0.384317,0.43933,0.354159,0.780109,0.415946,0.535158,0.274372,0.175541,0.521972,0.442791,0.62317
727.953003,0.419273,0.549896,0.404619,0.45545,0.35814,0.816859,0.431293,0.537328,0.291648,0.191006,0.533298,0.469312,0.636855
729.411011,0.434735,0.562379,0.420647,0.463221,0.357186,0.836497,0.448393,0.532264,0.293748,0.197817,0.541275,0.486742,0.64693
731.598022,0.453684,0.59659,0.446776,0.486684,0.35521,0.860473,0.4676,0.533835,0.307209,0.217106,0.550047,0.51032,0.656827
733.786011,0.469856,0.620464,0.462989,0.497913,0.360408,0.874746,0.482436,0.533888,0.320811,0.231657,0.56021,0.530348,0.662198
735.973022,0.481385,0.638506,0.479902,0.510087,0.356758,0.891548,0.494879,0.528099,0.328104,0.245026,0.572373,0.555491,0.674561
737.43103,0.48784,0.653418,0.488815,0.520882,0.354563,0.892934,0.500032,0.51998,0.331646,0.252316,0.576556,0.565125,0.67775
739.619019,0.503205,0.668645,0.49615,0.528065,0.351298,0.907992,0.504457,0.518728,0.342117,0.259454,0.582333,0.579769,0.682727
741.80603,0.511563,0.688612,0.508718,0.539902,0.352415,0.907889,0.516455,0.511569,0.342224,0.268147,0.592428,0.592928,0.691373
743.992981,0.508714,0.70186,0.517018,0.549932,0.349716,0.912408,0.516665,0.511557,0.347835,0.279718,0.600709,0.605401,0.69714
745.450989,0.515192,0.706517,0.526704,0.546373,0.351877,0.924578,0.522612,0.51026,0.353403,0.28347,0.600923,0.613781,0.701415
747.638977,0.524523,0.716004,0.539015,0.557817,0.354441,0.932268,0.526663,0.51289,0.356035,0.2892,0.606665,0.62694,0.705018
749.825989,0.524236,0.728066,0.548558,0.564928,0.352252,0.917542,0.529499,0.519375,0.356361,0.293408,0.608799,0.628865,0.703326
751.283997,0.526406,0.730169,0.557423,0.565403,0.351859,0.912998,0.539323,0.533196,0.356406,0.295867,0.613074,0.633433,0.706824
753.471008,0.516433,0.741657,0.569192,0.569693,0.354414,0.918258,0.548431,0.542499,0.361864,0.302003,0.616069,0.641693,0.71033
755.658997,0.523733,0.74713,0.579765,0.585289,0.366339,0.929134,0.556506,0.547151,0.364714,0.303036,0.611857,0.646002,0.713575
757.846008,0.531384,0.758683,0.579901,0.589427,0.363949,0.925121,0.559855,0.546121,0.36382,0.305285,0.609775,0.647808,0.713848
759.304016,0.538569,0.76203,0.583716,0.599636,0.361597,0.928275,0.558475,0.545054,0.364406,0.30927,0.61118,0.648784,0.714251
761.492004,0.539613,0.763636,0.584067,0.611341,0.363732,0.929599,0.570176,0.545275,0.369487,0.312789,0.608009,0.647255,0.720507
763.679016,0.54587,0.763057,0.58318,0.621693,0.369835,0.93952,0.57515,0.546611,0.377449,0.318253,0.61083,0.648585,0.72419
765.866028,0.558346,0.767063,0.582131,0.634659,0.37603,0.948754,0.567628,0.53157,0.385009,0.323091,0.608012,0.65361,0.716485
767.323975,0.564042,0.765507,0.577759,0.637329,0.375821,0.94255,0.560968,0.526677,0.382774,0.326886,0.611417,0.653099,0.721507
769.512024,0.563454,0.772612,0.580877,0.629054,0.363561,0.936462,0.558015,0.527914,0.385185,0.329395,0.615001,0.651367,0.717556
771.698975,0.56286,0.773593,0.587362,0.625623,0.370255,0.943171,0.567525,0.529654,0.395879,0.330173,0.618998,0.653444,0.718721
773.885986,0.5585,0.778026,0.587098,0.628197,0.370583,0.940792,0.566956,0.532763,0.398405,0.328199,0.622557,0.65583,0.719455
