Wavelength,Reflectance
1513.333333,0.55
1520,0.55
1526.666667,0.55
1533.333333,0.55
1540,0.55
1546.666667,0.55
1566.666667,0.55
1573.333333,0.55
1580,0.55
1586.666667,0.55
1593.333333,0.55
1600,0.55
1613.333333,0.55
1620,0.55
1626.666667,0.55
1633.333333,0.55
1640,0.55
1646.666667,0.55
1653.333333,0.55
1660,0.55
1666.666667,0.55
1673.333333,0.55
1680,0.55
1686.666667,0.55
1693.333333,0.55
1700,0.55
1706.666667,0.55
1713.333333,0.55
1720,0.55
1726.666667,0.55
1733.333333,0.55
1740,0.55
1746.666667,0.55
1753.333333,0.55
1760,0.55
1766.666667,0.55
1773.333333,0.55
1780,0.55
1786.666667,0.55
1793.333333,0.55
1800,0.55
1806.666667,0.55
1813.333333,0.55
1820,0.55
1826.666667,0.55
1833.333333,0.55
1840,0.55
1846.666667,0.55
1853.333333,0.55
1860,0.55
1866.666667,0.55
1873.333333,0.55
1880,0.55
1886.666667,0.55
1893.333333,0.55
1900,0.55
1906.666667,0.55
1913.333333,0.55
1920,0.55
1926.666667,0.55
1933.333333,0.55
1940,0.55
1946.666667,0.55
1953.333333,0.55
1960,0.55
1966.666667,0.55
1973.333333,0.55
1980,0.55
1986.666667,0.55
1993.333333,0.55
2000,0.55
2006.666667,0.55
2013.333333,0.55
2020,0.55
2026.666667,0.55
2033.333333,0.55
2040,0.55
2046.666667,0.55
2053.333333,0.55
2060,0.55
2066.666667,0.55
2073.333333,0.55
2080,0.55
2086.666667,0.55
2093.333333,0.55
2100,0.55
2106.666667,0.55
2113.333333,0.55
2120,0.55
2126.666667,0.55
2133.333333,0.55
2140,0.55
2146.666667,0.55
2153.333333,0.55
2160,0.55
2166.666667,0.55
2173.333333,0.55
2180,0.55
2186.666667,0.55
2193.333333,0.55
2200,0.55
2206.666667,0.55
2213.333333,0.55
2220,0.55
2226.666667,0.55
2233.333333,0.55
2240,0.55
2246.666667,0.55
2253.333333,0.55
2260,0.55
2266.666667,0.55
2273.333333,0.55
2280,0.55
2286.666667,0.55
2293.333333,0.55
2300,0.55
2306.666667,0.55
2313.333333,0.55
2320,0.55
2326.666667,0.55
2333.333333,0.55
2340,0.55
2346.666667,0.55
2353.333333,0.55
2360,0.55
2366.666667,0.55
2373.333333,0.55
2380,0.55
2386.666667,0.55
2393.333333,0.55
2400,0.55
2406.666667,0.55
2413.333333,0.55
2420,0.55
2426.666667,0.55
2433.333333,0.55
2440,0.55
2446.666667,0.55
2453.333333,0.55
2460,0.55
2466.666667,0.55
2473.333333,0.55
2480,0.55
2486.666667,0.55
2493.333333,0.55
2500,0.55
500,0.547566372
1266.666667,0.547566372
1553.333333,0.547566372
1560,0.547566372
1606.666667,0.547566372
2500,0.547566372
500,0.545132743
2500,0.545132743
500,0.542699115
2500,0.542699115
500,0.540265487
2500,0.540265487
500,0.537831858
2500,0.537831858
500,0.53539823
2500,0.53539823
500,0.532964602
2500,0.532964602
500,0.530530973
2500,0.530530973
500,0.528097345
2500,0.528097345
500,0.525663717
2500,0.525663717
500,0.523230088
2500,0.523230088
500,0.52079646
2500,0.52079646
500,0.518362832
2500,0.518362832
500,0.515929204
2500,0.515929204
500,0.513495575
2500,0.513495575
500,0.511061947
2500,0.511061947
500,0.508628319
2500,0.508628319
500,0.50619469
2500,0.50619469
500,0.503761062
2500,0.503761062
500,0.501327434
2500,0.501327434
500,0.498893805
2500,0.498893805
500,0.496460177
2500,0.496460177
500,0.494026549
2500,0.494026549
500,0.49159292
2500,0.49159292
500,0.489159292
2500,0.489159292
500,0.486725664
2500,0.486725664
500,0.484292035
2500,0.484292035
500,0.481858407
2500,0.481858407
500,0.479424779
2500,0.479424779
500,0.47699115
2500,0.47699115
500,0.474557522
2500,0.474557522
500,0.472123894
2500,0.472123894
500,0.469690265
2500,0.469690265
500,0.467256637
2500,0.467256637
500,0.464823009
2500,0.464823009
500,0.462389381
2500,0.462389381
500,0.459955752
2500,0.459955752
500,0.457522124
2500,0.457522124
500,0.455088496
2500,0.455088496
500,0.452654867
2500,0.452654867
500,0.450221239
2500,0.450221239
500,0.447787611
2500,0.447787611
500,0.445353982
2500,0.445353982
500,0.442920354
2500,0.442920354
500,0.440486726
2500,0.440486726
500,0.438053097
2500,0.438053097
500,0.435619469
2500,0.435619469
500,0.433185841
2500,0.433185841
500,0.430752212
